任务类别,原始类别,论文题目,作者,日期,发表/场所,模型架构(推断),方法要点(推断),链接,效果摘要
生成,Image Generation,Overcoming Pathology Image Data Deficiency: Generating Images from Pathological Transformation Process,"Zeyu Liu, Yufang He, Yu Zhao, Yunlu Feng, Guanglei Zhang","21st Nov., 2023","arXiv, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2311.12316 | Github:https://github.com/Rowerliu/ADBD,（README未提供，详见论文）
生成,Image Generation,MAM-E: Mammographic synthetic image generation with diffusion models,"Ricardo Montoya-del-Angel, Karla Sam-Millan, Joan C Vilanova, Robert Martí","16th Nov., 2023","arXiv, 2023",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2311.09822 | Github:https://github.com/Likalto4/diffusion-models,（README未提供，详见论文）
生成,Image Generation,Synthetically Enhanced: Unveiling Synthetic Data's Potential in Medical Imaging Research,"Bardia Khosravi, Frank Li, Theo Dapamede, Pouria Rouzrokh, Cooper U. Gamble, Hari M. Trivedi, Cody C. Wyles, Andrew B. Sellergren, Saptarshi Purkayastha, Bradley J. Erickson, Judy W. Gichoya","15th Nov., 2023","arXiv, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2311.09402 | Github:https://github.com/BardiaKh/SyntheticallyEnhanced,（README未提供，详见论文）
生成,Image Generation,Synthesizing Diabetic Foot Ulcer Images with Diffusion Model,"Reza Basiri, Karim Manji, Francois Harton, Alisha Poonja, Milos R. Popovic, Shehroz S. Khan","31st Oct., 2023","arXiv, 2023",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2310.20140,（README未提供，详见论文）
生成,Image Generation,MCRAGE: Synthetic Healthcare Data for Fairness,"Keira Behal, Jiayi Chen, Caleb Fikes, Sophia Xiao","27th Oct., 2023","arXiv, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2310.18430,（README未提供，详见论文）
生成,Image Generation,Using Diffusion Models to Generate Synthetic Labelled Data for Medical Image Segmentation,"Daniel Saragih, Pascal Tyrrell","25th Oct., 2023","arXiv, 2023",扩散ODE,分割,Paper:https://arxiv.org/abs/2310.16794 | Github:https://github.com/dsaragih/diffuse-gen,（README未提供，详见论文）
生成,Image Generation,EMIT-Diff: Enhancing Medical Image Segmentation via Text-Guided Diffusion Model,"Zheyuan Zhang, Lanhong Yao, Bin Wang, Debesh Jha, Elif Keles, Alpay Medetalibeyoglu, Ulas Bagci","19th Oct., 2023","arXiv, 2023",扩散ODE,分割,Paper:https://arxiv.org/abs/2310.12868,（README未提供，详见论文）
生成,Image Generation,Echocardiography video synthesis from end diastolic semantic map via diffusion model,"Phi Nguyen Van, Duc Tran Minh, Hieu Pham Huy, Long Tran Quoc","11th Oct., 2023","arXiv, 2023",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2310.07131,（README未提供，详见论文）
生成,Image Generation,MedDiffusion: Boosting Health Risk Prediction via Diffusion-based Data Augmentation,"Yuan Zhong, Suhan Cui, Jiaqi Wang, Xiaochen Wang, Ziyi Yin, Yaqing Wang, Houping Xiao, Mengdi Huai, Ting Wang, Fenglong Ma","4th Oct., 2023","SIAM, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2310.02520,（README未提供，详见论文）
生成,Image Generation,M3Dsynth: A dataset of medical 3D images with AI-generated local manipulations,"Giada Zingarini, Davide Cozzolino, Riccardo Corvi, Giovanni Poggi, Luisa Verdoliva","3rd Sep., 2023","MICCAI, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2309.07973 | GitHub:https://grip-unina.github.io/M3Dsynth/,（README未提供，详见论文）
生成,Image Generation,ArSDM: Colonoscopy Images Synthesis with Adaptive Refinement Semantic Diffusion Models,"Yuhao Du, Yuncheng Jiang, Shuangyi Tan, Xusheng Wu, Qi Dou, Zhen Li, Guanbin Li, Xiang Wan","3rd Sep., 2023","MICCAI, 2023",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2309.01111 | GitHub:https://github.com/DuYooho/ArSDM,（README未提供，详见论文）
生成,Image Generation,Augmenting medical image classifiers with synthetic data from latent diffusion models,"Luke W. Sagers, James A. Diao, Luke Melas-Kyriazi, Matthew Groh, Pranav Rajpurkar, Adewole S. Adamson, Veronica Rotemberg, Roxana Daneshjou, Arjun K. Manrai","23rd Aug., 2023","arXiv, 2023","潜空间/Latent Diffusion, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2308.12453,（README未提供，详见论文）
生成,Image Generation,Synthetic Augmentation with Large-scale Unconditional Pre-training,"Jiarong Ye, Haomiao Ni, Peng Jin, Sharon X. Huang, Yuan Xue","8th Aug., 2023","MICCAI, 2023",条件扩散,未归纳,Paper:https://arxiv.org/abs/2308.04020 | GitHub:https://github.com/karenyyy/HistoDiffAug,（README未提供，详见论文）
生成,Image Generation,Make-A-Volume: Leveraging Latent Diffusion Models for Cross-Modality 3D Brain MRI Synthesis,"Lingting Zhu, Zeyue Xue, Zhenchao Jin, Xian Liu, Jingzhen He, Ziwei Liu, Lequan Yu","19th Jul., 2023","arXiv, 2023","潜空间/Latent Diffusion, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2307.10094,（README未提供，详见论文）
生成,Image Generation,DreaMR: Diffusion-driven Counterfactual Explanation for Functional MRI,"Hasan A. Bedel, Tolga C¸ ukur","18th Jul., 2023","arXiv, 2023",通用/未明确,伪健康/反事实重建以显著化异常,Paper:https://arxiv.org/abs/2307.09547 | Github:https://github.com/icon-lab/DreaMR,（README未提供，详见论文）
生成,Image Generation,Hybrid Neural Diffeomorphic Flow for Shape Representation and Generation via Triplane,"Kun Han, Shanlin Sun, Xiaohui Xie",4th July. 2023,"arXiv, 2023",流模型/Flow,未归纳,Paper:https://arxiv.org/abs/2307.01957,（README未提供，详见论文）
生成,Image Generation,Investigating Data Memorization in 3D Latent Diffusion Models for Medical Image Synthesis,"Salman Ul Hassan Dar, Arman Ghanaat, Jannik Kahmann, Isabelle Ayx, Theano Papavassiliu, Stefan O. Schoenberg, Sandy Engelhardt",3rd July. 2023,"arXiv, 2023","潜空间/Latent Diffusion, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2307.01148,（README未提供，详见论文）
生成,Image Generation,DiffMix: Diffusion Model-based Data Synthesis for Nuclei Segmentation and Classification in Imbalanced Pathology Image Datasets,"Hyun-Jic Oh, Won-Ki Jeong",25th Jun. 2023,"arXiv, 2023",扩散ODE,分割,Paper:https://arxiv.org/abs/2306.14132,（README未提供，详见论文）
生成,Image Generation,DiffInfinite: Large Mask-Image Synthesis via Parallel Random Patch Diffusion in Histopathology,"Marco Aversa, Gabriel Nobis, Miriam Hägele, Kai Standvoss, Mihaela Chirica, Roderick Murray-Smith, Ahmed Alaa, Lukas Ruff, Daniela Ivanova, Wojciech Samek, Frederick Klauschen, Bruno Sanguinetti, Luis Oala",23th Jun. 2023,"arXiv, 2023",掩码/Masked机制,未归纳,Paper:https://arxiv.org/abs/2306.13384,（README未提供，详见论文）
生成,Image Generation,Aligning Synthetic Medical Images with Clinical Knowledge using Human Feedback,"Shenghuan Sun, Gregory M. Goldgof, Atul Butte, Ahmed M. Alaa","16th Jun., 2023","arXiv, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2306.12438,（README未提供，详见论文）
生成,Image Generation,Diffusion Models for Realistic CT Image Generation,"Maialen Stephens Txurio, Karen López-Linares Román, Andrés Marcos-Carrión, Pilar Castellote-Huguet, José M. Santabárbara-Gómez, Iván Macía Oliver, Miguel A. González Ballester","31th May, 2023","KES, 2023",扩散ODE,未归纳,Paper:https://link.springer.com/chapter/10.1007/978-981-99-3311-2_30,（README未提供，详见论文）
生成,Image Generation,Evaluating the feasibility of using Generative Models to generate Chest X-Ray Data,"Muhammad Danyal Malik, Danish Humair","30th May, 2023","arXiv, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2305.18927 | Github:https://github.com/mdanyalmalik/chest-xray-synthesis,（README未提供，详见论文）
生成,Image Generation,Conditional Diffusion Models for Semantic 3D Medical Image Synthesis,"Zolnamar Dorjsembe, Hsing-Kuo Pao, Sodtavilan Odonchimed, Furen Xiao","29th May, 2023","arXiv, 2023","条件扩散, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2305.18453,（README未提供，详见论文）
生成,Image Generation,GenerateCT: Text-Guided 3D Chest CT Generation,"Ibrahim Ethem Hamamci, Sezgin Er, Enis Simsar, Alperen Tezcan, Ayse Gulnihan Simsek, Furkan Almas, Sevval Nil Esirgun, Hadrien Reynaud, Sarthak Pati, Christian Bluethgen, Bjoern Menze","25th May, 2023","arXiv, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2305.16037 | Github:https://github.com/ibrahimethemhamamci/GenerateCT,（README未提供，详见论文）
生成,Image Generation,Beware of diffusion models for synthesizing medical images -- A comparison with GANs in terms of memorizing brain tumor images,"Muhammad Usman Akbar, Wuhao Wang, Anders Eklund","12th May, 2023","arXiv, 2023","扩散ODE, GAN",未归纳,Paper:https://arxiv.org/abs/2305.07644,（README未提供，详见论文）
生成,Image Generation,Generation of Structurally Realistic Retinal Fundus Images with Diffusion Models,"Sojung Go, Younghoon Ji, Sang Jun Park, Soochahn Lee","11th May, 2023","arXiv, 2023",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2305.06813,（README未提供，详见论文）
生成,Image Generation,Echo from noise: synthetic ultrasound image generation using diffusion models for real image segmentation,"David Stojanovski, Uxio Hermida, Pablo Lamata, Arian Beqiri, Alberto Gomez","9th May, 2023","arXiv, 2023",扩散ODE,分割,Paper:https://arxiv.org/abs/2305.05424 | Github:https://github.com/david-stojanovski/echo_from_noise,（README未提供，详见论文）
生成,Image Generation,Synthesizing PET images from High-field and Ultra-high-field MR images Using Joint Diffusion Attention Model,"Taofeng Xie, Chentao Cao, Zhuoxu Cui, Yu Guo, Caiying Wu, Xuemei Wang, Qingneng Li, Zhanli Hu, Tao Sun, Ziru Sang, Yihang Zhou, Yanjie Zhu, Dong Liang, Qiyu Jin, Guoqing Chen, Haifeng Wang","6th May, 2023","arXiv, 2023",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2305.03901,（README未提供，详见论文）
生成,Image Generation,High-Fidelity Image Synthesis from Pulmonary Nodule Lesion Maps using Semantic Diffusion Model,"Xuan Zhao, Benjamin Hou","2nd May, 2023","arXiv, 2023",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2305.01138,（README未提供，详见论文）
生成,Image Generation,Denoising Diffusion Medical Models,"Pham Ngoc Huy, Tran Minh Quan","19th Apr., 2023","arXiv, 2023","DDPM类, 扩散ODE",去噪,Paper:https://arxiv.org/abs/2304.09383,（README未提供，详见论文）
生成,Image Generation,Mask-conditioned latent diffusion for generating gastrointestinal polyp images,"Roman Macháček, Leila Mozaffari, Zahra Sepasdar, Sravanthi Parasa, Pål Halvorsen, Michael A. Riegler, Vajira Thambawita","11th Apr., 2023","arXiv, 2023","潜空间/Latent Diffusion, 条件扩散, 掩码/Masked机制",未归纳,Paper:https://arxiv.org/abs/2304.05233 | Github:https://github.com/simulamet-host/conditional-polyp-diffusion,（README未提供，详见论文）
生成,Image Generation,MedGen3D: A Deep Generative Framework for Paired 3D Image and Mask Generation,"Kun Han, Yifeng Xiong, Chenyu You, Pooya Khosravi, Shanlin Sun, Xiangyi Yan, James Duncan, Xiaohui Xie","8th Apr., 2023","arXiv, 2023",掩码/Masked机制,未归纳,Paper:https://arxiv.org/abs/2304.04106,（README未提供，详见论文）
生成,Image Generation,Towards Realistic Ultrasound Fetal Brain Imaging Synthesis,"Michelle Iskandar, Harvey Mannering, Zhanxiang Sun, Jacqueline Matthew, Hamideh Kerdegari, Laura Peralta, Miguel Xochicale","8th Apr., 2023","arXiv, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2304.03941 | Github:https://github.com/budai4medtech/midl2023,（README未提供，详见论文）
生成,Image Generation,2D Medical Image Synthesis Using Transformer-based Denoising Diffusion Probabilistic Model,"Shaoyan Pan, Tonghe Wang, Richard L J Qiu, Marian Axente, Chih-Wei Chang, Junbo Peng, Ashish B Patel, Joseph Shelton, Sagar A Patel, Justin Roper","4th Apr., 2023","Physics in Medicine & Biology, 2023","DDPM类, 扩散ODE",去噪,Paper:https://iopscience.iop.org/article/10.1088/1361-6560/acca5c/meta,（README未提供，详见论文）
生成,Image Generation,ViT-DAE: Transformer-driven Diffusion Autoencoder for Histopathology Image Analysis,"Xuan Xu, Saarthak Kapse, Rajarsi Gupta, Prateek Prasanna","3rd Apr., 2023","arXiv, 2023",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2304.01053,（README未提供，详见论文）
生成,Image Generation,DDMM-Synth: A Denoising Diffusion Model for Cross-modal Medical Image Synthesis with Sparse-view Measurement Embedding,"Xiaoyue Li, Kai Shang, Gaoang Wang, Mark D. Butala","28th Mar., 2023","arXiv, 2023","DDPM类, 扩散ODE",去噪,Paper:https://arxiv.org/abs/2303.15770,（README未提供，详见论文）
生成,Image Generation,CoLa-Diff: Conditional Latent Diffusion Model for Multi-Modal MRI Synthesis,"Lan Jiang, Ye Mao, Xi Chen, Xiangfeng Wang, Chao Li","24th Mar., 2023","arXiv, 2023","潜空间/Latent Diffusion, 条件扩散, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2303.14081,（README未提供，详见论文）
生成,Image Generation,Feature-Conditioned Cascaded Video Diffusion Models for Precise Echocardiogram Synthesis,"Hadrien Reynaud, Mengyun Qiao, Mischa Dombrowski, Thomas Day, Reza Razavi, Alberto Gomez, Paul Leeson, Bernhard Kainz","22nd Mar., 2023","arXiv, 2023","条件扩散, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2303.12644 | Github:https://github.com/HReynaud/EchoDiffusion,（README未提供，详见论文）
生成,Image Generation,NASDM: Nuclei-Aware Semantic Histopathology Image Generation Using Diffusion Models,"Aman Shrivastava, P. Thomas Fletcher","20th Mar., 2023","arXiv, 2023",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2303.11477,（README未提供，详见论文）
生成,Image Generation,Cascaded Latent Diffusion Models for High-Resolution Chest X-ray Synthesis,"Tobias Weber, Michael Ingrisch, Bernd Bischl, David Rügamer","20th Mar., 2023","arXiv, 2023","潜空间/Latent Diffusion, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2303.11224,（README未提供，详见论文）
生成,Image Generation,Efficiently Training Vision Transformers on Structural MRI Scans for Alzheimer's Disease Detection,"Nikhil J. Dhinagar, Sophia I. Thomopoulos, Emily Laltoo, Paul M. Thompson","14th Mar., 2023","arXiv, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2303.08216,（README未提供，详见论文）
生成,Image Generation,DDFM: Denoising Diffusion Model for Multi-Modality Image Fusion,"Zixiang Zhao, Haowen Bai, Yuanzhi Zhu, Jiangshe Zhang, Shuang Xu, Yulun Zhang, Kai Zhang, Deyu Meng, Radu Timofte, Luc Van Gool","13th Mar., 2023","arXiv, 2023","DDPM类, 扩散ODE",去噪,Paper:https://arxiv.org/abs/2303.06840,（README未提供，详见论文）
生成,Image Generation,Bi-parametric prostate MR image synthesis using pathology and sequence-conditioned stable diffusion,"Shaheer U. Saeed, Tom Syer, Wen Yan, Qianye Yang, Mark Emberton, Shonit Punwani, Matthew J. Clarkson, Dean C. Barratt, Yipeng Hu","3rd Mar., 2023","arXiv, 2023",条件扩散,未归纳,Paper:https://arxiv.org/abs/2303.02094,（README未提供，详见论文）
生成,Image Generation,Don't Play Favorites: Minority Guidance for Diffusion Models,"Soobin Um, Suhyeon Lee, Jong Chul Ye","29th Jan., 2023","ICLR, 2024",扩散ODE,未归纳,Paper:http://arxiv.org/abs/2301.12334v2,（README未提供，详见论文）
生成,Image Generation,Conversion of the Mayo LDCT Data to Synthetic Equivalent through the Diffusion Model for Training Denoising Networks with a Theoretically Perfect Privacy,"Yongyi Shi, Ge Wang","16th Jan., 2023","arXiv, 2023",扩散ODE,去噪,Paper:https://arxiv.org/abs/2301.06604,（README未提供，详见论文）
生成,Image Generation,Denoising Diffusion Probabilistic Models for Generation of Realistic Fully-Annotated Microscopy Image Data Sets,"Dennis Eschweiler, Johannes Stegmaier","2nd Jan., 2023","arXiv, 2023","DDPM类, 扩散ODE",去噪,Paper:https://arxiv.org/abs/2301.10227 | Github:https://github.com/stegmaierj/DiffusionModelsForImageSynthesis | Synthetic Dataset:https://osf.io/dnp65/,（README未提供，详见论文）
生成,Image Generation,Generating Realistic 3D Brain MRIs Using a Conditional Diffusion Probabilistic Model,"Wei Peng, Ehsan Adeli, Qingyu Zhao, Kilian M Pohl","15th Dec., 2022","MICCAI, 2023","DDPM类, 条件扩散, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2212.08034,（README未提供，详见论文）
生成,Image Generation,SADM: Sequence-Aware Diffusion Model for Longitudinal Medical Image Generation,"Jee Seok Yoon, Chenghao Zhang, Heung-Il Suk, Jia Guo, Xiaoxiao Li","16th Dec., 2022","arXiv, 2022",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2212.08228,（README未提供，详见论文）
生成,Image Generation,Diffusion Probabilistic Models beat GANs on Medical Images,"Gustav Müller-Franzes, Jan Moritz Niehues, Firas Khader, Soroosh Tayebi Arasteh, Christoph Haarburger, Christiane Kuhl, Tianci Wang, Tianyu Han, Sven Nebelung, Jakob Nikolas Kather, Daniel Truhn","14th Dec., 2022","arXiv, 2022","DDPM类, 扩散ODE, GAN",未归纳,Paper:https://arxiv.org/abs/2212.07501,（README未提供，详见论文）
生成,Image Generation,Improving dermatology classifiers across populations using images generated by large diffusion models,"Luke W. Sagers, James A. Diao, Matthew Groh, Pranav Rajpurkar, Adewole S. Adamson, Arjun K. Manrai","23rd Nov., 2022","NeurIPS Workshop, 2022",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2211.13352,（README未提供，详见论文）
